ta_number,drug_name,title,published_date,recommendation,guidance_url
119,fludarabine monotherapy,Fludarabine monotherapy for the first-line treatment of chronic lymphocytic leukaemia,28 February 2007,,https://www.nice.org.uk/guidance/ta119
78,fluid-filled thermal balloon,Fluid-filled thermal balloon and microwave endometrial ablation techniques for heavy menstrual bleeding,28 April 2004,,https://www.nice.org.uk/guidance/ta78
934,foslevodopa–foscarbidopa,Foslevodopa–foscarbidopa for treating advanced Parkinson’s with motor symptoms,29 November 2023,,https://www.nice.org.uk/guidance/ta934
759,fostamatinib,Fostamatinib for treating refractory chronic immune thrombocytopenia,07 January 2022,,https://www.nice.org.uk/guidance/ta759
835,fostamatinib,Fostamatinib for treating refractory chronic immune thrombocytopenia,19 October 2022,,https://www.nice.org.uk/guidance/ta835
81,frequency of application of topical corticosteroids,Frequency of application of topical corticosteroids for atopic eczema,25 August 2004,,https://www.nice.org.uk/guidance/ta81
969,gefapixant,Gefapixant for treating refractory or unexplained chronic cough (terminated appraisal),30 April 2024,,https://www.nice.org.uk/guidance/ta969
646,glasdegib with chemotherapy,Glasdegib with chemotherapy for untreated acute myeloid leukaemia (terminated appraisal),02 September 2020,,https://www.nice.org.uk/guidance/ta646
499,glecaprevir–pibrentasvir,Glecaprevir–pibrentasvir for treating chronic hepatitis C,24 January 2018,,https://www.nice.org.uk/guidance/ta499
63,glitazones in the treatment of type 2 diabetes,Glitazones in the treatment of type 2 diabetes,27 August 2003,,https://www.nice.org.uk/guidance/ta63
12,glycoprotein iib/iiia inhibitors in the treatment of acute coronary syndromes,Glycoprotein IIb/IIIa inhibitors in the treatment of acute coronary syndromes,26 September 2000,,https://www.nice.org.uk/guidance/ta12
48,guidance on home compared with hospital haemodialysis,Guidance on home compared with hospital haemodialysis for patients with end-stage renal failure,26 September 2002,,https://www.nice.org.uk/guidance/ta48
1,guidance on the extraction of wisdom teeth,Guidance on the extraction of wisdom teeth,27 March 2000,,https://www.nice.org.uk/guidance/ta1
2,guidance on the selection of prostheses,Guidance on the Selection of Prostheses for Primary Total Hip Replacement,26 April 2000,,https://www.nice.org.uk/guidance/ta2
61,guidance on the use of capecitabine,Guidance on the use of capecitabine and tegafur with uracil for metastatic colorectal cancer,27 May 2003,,https://www.nice.org.uk/guidance/ta61
62,guidance on the use of capecitabine,Guidance on the use of capecitabine for the treatment of locally advanced or metastatic breast cancer,28 May 2003,,https://www.nice.org.uk/guidance/ta62
71,guidance on the use of coronary artery stents,Guidance on the use of coronary artery stents,22 October 2003,,https://www.nice.org.uk/guidance/ta71
52,guidance on the use of drugs,Guidance on the use of drugs for early thrombolysis in the treatment of acute myocardial infarction,30 October 2002,,https://www.nice.org.uk/guidance/ta52
59,guidance on the use of electroconvulsive therapy,Guidance on the use of electroconvulsive therapy,26 April 2003,,https://www.nice.org.uk/guidance/ta59
29,guidance on the use of fludarabine,Guidance on the use of fludarabine for B-cell chronic lymphocytic leukaemia,26 September 2001,,https://www.nice.org.uk/guidance/ta29
47,guidance on the use of glycoprotein iib/iiia inhibitors in the treatment of acute coronary syndromes,Guidance on the use of glycoprotein IIb/IIIa inhibitors in the treatment of acute coronary syndromes,05 September 2002,,https://www.nice.org.uk/guidance/ta47
10,guidance on the use of inhaler systems (devices) in children under the age of 5 years with chronic asthma,Guidance on the use of inhaler systems (devices) in children under the age of 5 years with chronic asthma,23 August 2000,,https://www.nice.org.uk/guidance/ta10
69,guidance on the use of liquid-based cytology,Guidance on the use of liquid-based cytology for cervical screening,22 October 2003,,https://www.nice.org.uk/guidance/ta69
44,guidance on the use of metal on metal hip resurfacing arthroplasty,Guidance on the use of metal on metal hip resurfacing arthroplasty,26 June 2002,,https://www.nice.org.uk/guidance/ta44
60,guidance on the use of patient-education models,Guidance on the use of patient-education models for diabetes,26 April 2003,,https://www.nice.org.uk/guidance/ta60
68,guidance on the use of photodynamic therapy,Guidance on the use of photodynamic therapy for age-related macular degeneration,24 September 2003,,https://www.nice.org.uk/guidance/ta68
23,guidance on the use of temozolomide,Guidance on the use of temozolomide for the treatment of recurrent malignant glioma (brain cancer),26 April 2001,,https://www.nice.org.uk/guidance/ta23
49,guidance on the use of ultrasound locating devices,Guidance on the use of ultrasound locating devices for placing central venous catheters,04 October 2002,,https://www.nice.org.uk/guidance/ta49
54,guidance on the use of vinorelbine,Guidance on the use of vinorelbine for the treatment of advanced breast cancer,13 December 2002,,https://www.nice.org.uk/guidance/ta54
77,"guidance on the use of zaleplon, zolpidem","Guidance on the use of zaleplon, zolpidem and zopiclone for the short-term management of insomnia",28 April 2004,,https://www.nice.org.uk/guidance/ta77
92,healozone,HealOzone for the treatment of tooth decay (occlusal pit and fissure caries and root caries),27 July 2005,,https://www.nice.org.uk/guidance/ta92
8,hearing disability - hearing aids,Hearing disability - hearing aids,23 July 2000,,https://www.nice.org.uk/guidance/ta8
467,holoclar,Holoclar for treating limbal stem cell deficiency after eye burns,16 August 2017,,https://www.nice.org.uk/guidance/ta467
112,hormonal therapies,Hormonal therapies for the adjuvant treatment of early oestrogen-receptor-positive breast cancer,22 November 2006,,https://www.nice.org.uk/guidance/ta112
965,human alpha1-proteinase inhibitor,Human alpha1-proteinase inhibitor for treating emphysema (terminated appraisal),28 March 2024,,https://www.nice.org.uk/guidance/ta965
42,human growth hormone,Human growth hormone for the treatment growth failure in children,27 May 2002,,https://www.nice.org.uk/guidance/ta42
943,hybrid closed loop systems,Hybrid closed loop systems for managing blood glucose levels in type 1 diabetes,19 December 2023,,https://www.nice.org.uk/guidance/ta943
936,idecabtagene vicleucel,Idecabtagene vicleucel for treating relapsed and refractory multiple myeloma after 3 or more treatments (terminated appraisal),30 November 2023,,https://www.nice.org.uk/guidance/ta936
50,imanitib,Imanitib for chronic myeloid leukaemia,16 October 2002,,https://www.nice.org.uk/guidance/ta50
809,imlifidase,Imlifidase for desensitisation treatment before kidney transplant in people with chronic kidney disease,20 July 2022,,https://www.nice.org.uk/guidance/ta809
85,immunosuppressive therapy,Immunosuppressive therapy for renal transplantation in adults,22 September 2004,,https://www.nice.org.uk/guidance/ta85
99,immunosuppressive therapy,Immunosuppressive therapy for renal transplantation in children and adolescents,26 April 2006,,https://www.nice.org.uk/guidance/ta99
481,immunosuppressive therapy,Immunosuppressive therapy for kidney transplant in adults,11 October 2017,,https://www.nice.org.uk/guidance/ta481
482,immunosuppressive therapy,Immunosuppressive therapy for kidney transplant in children and young people,11 October 2017,,https://www.nice.org.uk/guidance/ta482
95,implantable cardioverter defibrillators,Implantable cardioverter defibrillators for arrhythmias,25 January 2006,,https://www.nice.org.uk/guidance/ta95
314,implantable cardioverter defibrillators,Implantable cardioverter defibrillators and cardiac resynchronisation therapy for arrhythmias and heart failure,25 June 2014,,https://www.nice.org.uk/guidance/ta314
11,implantable cardioverter defibrillators (icds),Implantable cardioverter defibrillators (ICDs) for the treatment of arrhythmias,26 September 2000,,https://www.nice.org.uk/guidance/ta11
131,inhaled corticosteroids,Inhaled corticosteroids for the treatment of chronic asthma in children under the age of 12 years,28 November 2007,,https://www.nice.org.uk/guidance/ta131
138,inhaled corticosteroids,Inhaled corticosteroids for the treatment of chronic asthma in adults and in children aged 12 years and over,26 March 2008,,https://www.nice.org.uk/guidance/ta138
38,inhaler devices,Inhaler devices for routine treatment of chronic asthma in older children (aged 5 to 15 years),27 March 2002,,https://www.nice.org.uk/guidance/ta38
75,interferon alfa (pegylated,Interferon alfa (pegylated and non-pegylated) and ribavirin for the treatment of chronic hepatitis C,28 January 2004,,https://www.nice.org.uk/guidance/ta75
501,intrabeam radiotherapy system,Intrabeam radiotherapy system for adjuvant treatment of early breast cancer,31 January 2018,,https://www.nice.org.uk/guidance/ta501
4,ischaemic heart disease - coronary artery stents,Ischaemic heart disease - coronary artery stents,27 May 2000,,https://www.nice.org.uk/guidance/ta4
17,laparoscopic surgery,Laparoscopic surgery for colorectal cancer,16 December 2000,,https://www.nice.org.uk/guidance/ta17
18,laparoscopic surgery,Laparoscopic surgery for hernia,23 January 2001,,https://www.nice.org.uk/guidance/ta18
83,laparoscopic surgery,Laparoscopic surgery for inguinal hernia repair,22 September 2004,,https://www.nice.org.uk/guidance/ta83
105,laparoscopic surgery,Laparoscopic surgery for colorectal cancer,23 August 2006,,https://www.nice.org.uk/guidance/ta105
506,lesinurad,Lesinurad for treating chronic hyperuricaemia in people with gout,07 February 2018,,https://www.nice.org.uk/guidance/ta506
552,liposomal cytarabine–daunorubicin,Liposomal cytarabine–daunorubicin for untreated acute myeloid leukaemia,19 December 2018,,https://www.nice.org.uk/guidance/ta552
5,liquid-based cytology,Liquid-based cytology for cervical screening,26 June 2000,,https://www.nice.org.uk/guidance/ta5
947,loncastuximab tesirine,Loncastuximab tesirine for treating relapsed or refractory diffuse large B-cell lymphoma and high-grade B-cell lymphoma after 2 or more systemic treatments,31 January 2024,,https://www.nice.org.uk/guidance/ta947
286,loxapine inhalation,Loxapine inhalation for treating acute agitation and disturbed behaviours associated with schizophrenia and bipolar disorder (terminated appraisal),22 May 2013,,https://www.nice.org.uk/guidance/ta286
318,lubiprostone,Lubiprostone for treating chronic idiopathic constipation,23 July 2014,,https://www.nice.org.uk/guidance/ta318
843,luspatercept,Luspatercept for treating anaemia caused by beta-thalassaemia (terminated appraisal),24 November 2022,,https://www.nice.org.uk/guidance/ta843
844,luspatercept,Luspatercept for treating anaemia caused by myelodysplastic syndromes (terminated appraisal),24 November 2022,,https://www.nice.org.uk/guidance/ta844
617,lusutrombopag,Lusutrombopag for treating thrombocytopenia in people with chronic liver disease needing a planned invasive procedure,08 January 2020,,https://www.nice.org.uk/guidance/ta617
539,lutetium (177lu) oxodotreotide,Lutetium (177Lu) oxodotreotide for treating unresectable or metastatic neuroendocrine tumours,29 August 2018,,https://www.nice.org.uk/guidance/ta539
930,lutetium-177 vipivotide tetraxetan,Lutetium-177 vipivotide tetraxetan for treating PSMA-positive hormone-relapsed metastatic prostate cancer after 2 or more treatments,15 November 2023,,https://www.nice.org.uk/guidance/ta930
165,machine perfusion systems,Machine perfusion systems and cold static storage of kidneys from deceased donors,28 January 2009,,https://www.nice.org.uk/guidance/ta165
822,melphalan,Melphalan for haematological diseases before allogeneic haematopoietic stem cell transplant (terminated appraisal),14 September 2022,,https://www.nice.org.uk/guidance/ta822
277,methylnaltrexone,Methylnaltrexone for treating opioid-induced bowel dysfunction in people with advanced illness receiving palliative care (terminated appraisal),27 March 2013,,https://www.nice.org.uk/guidance/ta277
468,methylnaltrexone bromide,Methylnaltrexone bromide for treating opioid-induced constipation (terminated appraisal),23 August 2017,,https://www.nice.org.uk/guidance/ta468
748,mexiletine,Mexiletine for treating the symptoms of myotonia in non-dystrophic myotonic disorders,01 December 2021,,https://www.nice.org.uk/guidance/ta748
235,mifamurtide,Mifamurtide for the treatment of osteosarcoma,26 October 2011,,https://www.nice.org.uk/guidance/ta235
290,mirabegron,Mirabegron for treating symptoms of overactive bladder,26 June 2013,,https://www.nice.org.uk/guidance/ta290
867,mitapivat,Mitapivat for treating pyruvate kinase deficiency (terminated appraisal),16 February 2023,,https://www.nice.org.uk/guidance/ta867
892,mosunetuzumab,Mosunetuzumab for treating relapsed or refractory follicular lymphoma,31 May 2023,,https://www.nice.org.uk/guidance/ta892
73,myocardial perfusion scintigraphy,Myocardial perfusion scintigraphy for the diagnosis and management of angina and myocardial infarction,26 November 2003,,https://www.nice.org.uk/guidance/ta73
651,naldemedine,Naldemedine for treating opioid-induced constipation,30 September 2020,,https://www.nice.org.uk/guidance/ta651
345,naloxegol,Naloxegol for treating opioid‑induced constipation,22 July 2015,,https://www.nice.org.uk/guidance/ta345
115,naltrexone,Naltrexone for the management of opioid dependence,24 January 2007,,https://www.nice.org.uk/guidance/ta115
494,naltrexone–bupropion,Naltrexone–bupropion for managing overweight and obesity,12 December 2017,,https://www.nice.org.uk/guidance/ta494
745,nbtxr-3,NBTXR-3 for treating advanced soft tissue sarcoma (terminated appraisal),10 November 2021,,https://www.nice.org.uk/guidance/ta745
