drug,therapy_area,pbac_date,nice_date,gap_days,gap_months,who_moved_first,nice_recommendation,pbac_filename,nice_ta_number,nice_title,nice_published_date,pbac_year,pbac_month,nice_guidance_url
bortezomib-juno,Oncology,2021-07-01,2017-07-05,1457,47.9,NICE (UK first),,bortezomib-juno-psd-july-2021.pdf,453,Bortezomib for treating multiple myeloma after second or subsequent relapse (terminated appraisal),05 July 2017,2021,7,https://www.nice.org.uk/guidance/ta453
botulinum,Other,2013-07-01,2012-06-27,369,12.1,NICE (UK first),,botulinum-psd-07-2013.pdf,260,Botulinum toxin type A for the prevention of headaches in adults with chronic migraine,27 June 2012,2013,7,https://www.nice.org.uk/guidance/ta260
botulinum,Other,2013-07-01,2019-10-09,-2291,-75.3,PBAC (AUS first),,botulinum-psd-07-2013.pdf,605,Xeomin (botulinum neurotoxin type A) for treating chronic sialorrhoea,09 October 2019,2013,7,https://www.nice.org.uk/guidance/ta605
botulinum,Other,2013-11-01,2012-06-27,492,16.2,NICE (UK first),,botulinum-psd-11-2013.pdf,260,Botulinum toxin type A for the prevention of headaches in adults with chronic migraine,27 June 2012,2013,11,https://www.nice.org.uk/guidance/ta260
botulinum,Other,2013-11-01,2019-10-09,-2168,-71.2,PBAC (AUS first),,botulinum-psd-11-2013.pdf,605,Xeomin (botulinum neurotoxin type A) for treating chronic sialorrhoea,09 October 2019,2013,11,https://www.nice.org.uk/guidance/ta605
botulinum-toxin,Other,2018-03-01,2012-06-27,2073,68.1,NICE (UK first),,botulinum-toxin-psd-march-2018.pdf,260,Botulinum toxin type A for the prevention of headaches in adults with chronic migraine,27 June 2012,2018,3,https://www.nice.org.uk/guidance/ta260
botulinum-toxin,Other,2019-11-01,2012-06-27,2683,88.1,NICE (UK first),,botulinum-toxin-psd-november-2019.pdf,260,Botulinum toxin type A for the prevention of headaches in adults with chronic migraine,27 June 2012,2019,11,https://www.nice.org.uk/guidance/ta260
botulinum-toxin-type-a,Other,2018-07-01,2012-06-27,2195,72.1,NICE (UK first),,botulinum-toxin-type-a-psd-july-2018.pdf,260,Botulinum toxin type A for the prevention of headaches in adults with chronic migraine,27 June 2012,2018,7,https://www.nice.org.uk/guidance/ta260
botulinum-toxin-type-a,Other,2017-03-01,2012-06-27,1708,56.1,NICE (UK first),,botulinum-toxin-type-a-psd-march-2017.pdf,260,Botulinum toxin type A for the prevention of headaches in adults with chronic migraine,27 June 2012,2017,3,https://www.nice.org.uk/guidance/ta260
brentuximab,Other,2014-03-01,2017-06-28,-1215,-39.9,PBAC (AUS first),,brentuximab-psd-03-2014.pdf,446,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,28 June 2017,2014,3,https://www.nice.org.uk/guidance/ta446
brentuximab,Other,2014-03-01,2017-10-04,-1313,-43.1,PBAC (AUS first),,brentuximab-psd-03-2014.pdf,478,Brentuximab vedotin for treating relapsed or refractory systemic anaplastic large cell lymphoma,04 October 2017,2014,3,https://www.nice.org.uk/guidance/ta478
brentuximab,Other,2014-03-01,2018-06-13,-1565,-51.4,PBAC (AUS first),,brentuximab-psd-03-2014.pdf,524,Brentuximab vedotin for treating CD30-positive Hodgkin lymphoma,13 June 2018,2014,3,https://www.nice.org.uk/guidance/ta524
brentuximab,Other,2014-03-01,2019-04-24,-1880,-61.8,PBAC (AUS first),,brentuximab-psd-03-2014.pdf,577,Brentuximab vedotin for treating CD30-positive cutaneous T-cell lymphoma,24 April 2019,2014,3,https://www.nice.org.uk/guidance/ta577
