atc,atc_code,year,metric,nsw,vic,qld,sa,wa,tas,act,nt,total
Alimentary Tract and Metabolism,A,2018,services,10583559,7841847,6039905,2527005,2668669,849718,335475,125263,30971441
Alimentary Tract and Metabolism,A,2019,services,11053982,7952587,6122642,2544465,2817387,892071,341400,133981,31858515
Alimentary Tract and Metabolism,A,2020,services,11403458,8396515,6618705,2785564,3014224,944268,372315,136620,33671669
Alimentary Tract and Metabolism,A,2021,services,11368932,8497775,6889015,2829488,3159945,969528,391756,151905,34258344
Alimentary Tract and Metabolism,A,2022,services,11936404,8959918,7480312,2944077,3355248,1030960,412019,155011,36273949
Alimentary Tract and Metabolism,A,2023,services,12261623,9408969,7885461,3144947,3519327,1060317,437605,164713,37882962
Alimentary Tract and Metabolism,A,2024,services,13062453,9676522,7708421,3149959,3622115,1088034,455092,172790,38935386
Alimentary Tract and Metabolism,A,2025,services,14150386,10364326,8882426,3504575,4051397,1213174,478811,181996,42827091
Alimentary Tract and Metabolism,A,2026_ytd,services,3012385,2284838,1888280,733902,923892,269345,113617,42972,9269231
Alimentary Tract and Metabolism,A,TOTAL,services,296337805,216612731,162212562,71041220,73650204,23938410,9398336,3156075,856347343
Blood and Blood Forming Organs,B,1992,services,834462,563437,350445,191764,220762,55401,14304,3984,2234559
Blood and Blood Forming Organs,B,1994,services,843879,598063,355662,204960,220064,56932,14241,4505,2298306
Blood and Blood Forming Organs,B,1995,services,861634,637915,380745,216742,240304,64265,14932,5337,2421874
Blood and Blood Forming Organs,B,1996,services,873641,663972,402706,223807,251608,66661,15299,5821,2503515
Blood and Blood Forming Organs,B,1997,services,885309,671775,417263,218564,253080,67439,16733,6014,2536177
Blood and Blood Forming Organs,B,1998,services,916287,714028,454284,237082,259225,76806,18861,6502,2683075
Blood and Blood Forming Organs,B,1999,services,1043091,831727,542478,276977,291000,92980,23470,7008,3108731
Blood and Blood Forming Organs,B,2000,services,1295599,998070,680267,322882,335494,109691,33257,7953,3783213
Blood and Blood Forming Organs,B,2001,services,1362221,1051272,784703,378042,355864,117384,39515,9205,4098206
Blood and Blood Forming Organs,B,2002,services,1599445,1208016,908996,416605,408250,136015,48512,10869,4736708
Blood and Blood Forming Organs,B,2003,services,1781078,1370495,1037748,463898,466713,154167,54222,12290,5340611
Blood and Blood Forming Organs,B,2004,services,2037209,1521377,1178603,533662,526722,166635,62064,15150,6041422
Blood and Blood Forming Organs,B,2005,services,2119197,1569932,1216554,542887,539576,169483,66255,16693,6240577
Blood and Blood Forming Organs,B,2006,services,2219644,1622533,1252434,548996,561679,171641,70635,17654,6465216
Blood and Blood Forming Organs,B,2007,services,2366421,1721356,1367776,595070,618983,180818,75435,19717,6945576
Blood and Blood Forming Organs,B,2008,services,2463706,1752115,1422493,596652,655287,192835,75790,20155,7179033
Blood and Blood Forming Organs,B,2009,services,2677556,1925718,1528619,707801,675032,199346,81543,23339,7818954
Blood and Blood Forming Organs,B,2010,services,2711216,1936943,1577955,701894,708767,197862,83797,24266,7942700
