ta_number,title,drug_name,published_date,recommendation,guidance_url,pdf_url
277,Methylnaltrexone for treating opioid-induced bowel dysfunction in people with advanced illness receiving palliative care (terminated appraisal),methylnaltrexone,27 March 2013,,https://www.nice.org.uk/guidance/ta277,https://www.nice.org.uk/guidance/ta277/resources/methylnaltrexone-for-treating-opioidinduced-bowel-dysfunction-in-people-with-advanced-illness-receiving-palliative-care-terminated-appraisal-pdf-82600617497029
278,Omalizumab for treating severe persistent allergic asthma,omalizumab,24 April 2013,,https://www.nice.org.uk/guidance/ta278,https://www.nice.org.uk/guidance/ta278/resources/omalizumab-for-treating-severe-persistent-allergic-asthma-pdf-82600619176645
279,Percutaneous vertebroplasty and percutaneous balloon kyphoplasty for treating osteoporotic vertebral compression fractures,percutaneous vertebroplasty,24 April 2013,,https://www.nice.org.uk/guidance/ta279,https://www.nice.org.uk/guidance/ta279/resources/percutaneous-vertebroplasty-and-percutaneous-balloon-kyphoplasty-for-treating-osteoporotic-vertebral-compression-fractures-pdf-82600620856261
280,Abatacept for treating rheumatoid arthritis after the failure of conventional disease-modifying anti-rheumatic drugs,abatacept,24 April 2013,,https://www.nice.org.uk/guidance/ta280,https://www.nice.org.uk/guidance/ta280/resources/ta280.pdf
281,Canakinumab for treating gouty arthritis attacks and reducing the frequency of subsequent attacks (terminated appraisal),canakinumab,24 April 2013,,https://www.nice.org.uk/guidance/ta281,https://www.nice.org.uk/guidance/ta281/resources/ta281.pdf
282,Pirfenidone for treating idiopathic pulmonary fibrosis,pirfenidone,24 April 2013,,https://www.nice.org.uk/guidance/ta282,https://www.nice.org.uk/guidance/ta282/resources/ta282.pdf
283,Ranibizumab for treating visual impairment caused by macular oedema secondary to retinal vein occlusion,ranibizumab,22 May 2013,,https://www.nice.org.uk/guidance/ta283,https://www.nice.org.uk/guidance/ta283/resources/ranibizumab-for-treating-visual-impairment-caused-by-macular-oedema-secondary-to-retinal-vein-occlusion-pdf-82600671244741
284,Bevacizumab in combination with paclitaxel and carboplatin for first-line treatment of advanced ovarian cancer,bevacizumab in combination with paclitaxel,22 May 2013,,https://www.nice.org.uk/guidance/ta284,https://www.nice.org.uk/guidance/ta284/resources/bevacizumab-in-combination-with-paclitaxel-and-carboplatin-for-firstline-treatment-of-advanced-ovarian-cancer-pdf-82600672924357
285,Bevacizumab in combination with gemcitabine and carboplatin for treating the first recurrence of platinum-sensitive advanced ovarian cancer,bevacizumab in combination with gemcitabine,22 May 2013,,https://www.nice.org.uk/guidance/ta285,https://www.nice.org.uk/guidance/ta285/resources/bevacizumab-in-combination-with-gemcitabine-and-carboplatin-for-treating-the-first-recurrence-of-platinumsensitive-advanced-ovarian-cancer-pdf-82600674603973
286,Loxapine inhalation for treating acute agitation and disturbed behaviours associated with schizophrenia and bipolar disorder (terminated appraisal),loxapine inhalation,22 May 2013,,https://www.nice.org.uk/guidance/ta286,https://www.nice.org.uk/guidance/ta286/resources/loxapine-inhalation-for-treating-acute-agitation-and-disturbed-behaviours-associated-with-schizophrenia-and-bipolar-disorder-terminated-appraisal-pdf-82600676283589
287,Rivaroxaban for treating pulmonary embolism and preventing recurrent venous thromboembolism,rivaroxaban,26 June 2013,,https://www.nice.org.uk/guidance/ta287,https://www.nice.org.uk/guidance/ta287/resources/rivaroxaban-for-treating-pulmonary-embolism-and-preventing-recurrent-venous-thromboembolism-pdf-82600677963205
288,Dapagliflozin in combination therapy for treating type 2 diabetes,dapagliflozin in combination therapy,26 June 2013,,https://www.nice.org.uk/guidance/ta288,https://www.nice.org.uk/guidance/ta288/resources/dapagliflozin-in-combination-therapy-for-treating-type2-diabetes-pdf-82600679642821
