ta_number,title,drug_name,published_date,recommendation,guidance_url,pdf_url
544,Dabrafenib with trametinib for adjuvant treatment of resected BRAF V600 mutation-positive melanoma,dabrafenib with trametinib,17 October 2018,,https://www.nice.org.uk/guidance/ta544,https://www.nice.org.uk/guidance/ta544/resources/dabrafenib-with-trametinib-for-adjuvant-treatment-of-resected-braf-v600-mutationpositive-melanoma-pdf-82606961406661
545,Gemtuzumab ozogamicin for untreated acute myeloid leukaemia,gemtuzumab ozogamicin,14 November 2018,,https://www.nice.org.uk/guidance/ta545,https://www.nice.org.uk/guidance/ta545/resources/gemtuzumab-ozogamicin-for-untreated-acute-myeloid-leukaemia-pdf-82606963086277
546,Padeliporfin for untreated localised prostate cancer,padeliporfin,21 November 2018,,https://www.nice.org.uk/guidance/ta546,https://www.nice.org.uk/guidance/ta546/resources/padeliporfin-for-untreated-localised-prostate-cancer-pdf-82606964765893
547,Tofacitinib for moderately to severely active ulcerative colitis,tofacitinib,28 November 2018,,https://www.nice.org.uk/guidance/ta547,https://www.nice.org.uk/guidance/ta547/resources/tofacitinib-for-moderately-to-severely-active-ulcerative-colitis-pdf-82606966445509
548,Decitabine for untreated acute myeloid leukaemia (terminated appraisal),decitabine,05 December 2018,,https://www.nice.org.uk/guidance/ta548,https://www.nice.org.uk/guidance/ta548/resources/decitabine-for-untreated-acute-myeloid-leukaemia-terminated-appraisal-pdf-82606968125125
549,Denosumab for preventing skeletal-related events in multiple myeloma (terminated appraisal),denosumab,05 December 2018,,https://www.nice.org.uk/guidance/ta549,https://www.nice.org.uk/guidance/ta549/resources/denosumab-for-preventing-skeletalrelated-events-in-multiple-myeloma-terminated-appraisal-pdf-82606969804741
550,Vandetanib for treating medullary thyroid cancer,vandetanib,12 December 2018,,https://www.nice.org.uk/guidance/ta550,https://www.nice.org.uk/guidance/ta550/resources/vandetanib-for-treating-medullary-thyroid-cancer-pdf-82607015154373
551,Lenvatinib for untreated advanced hepatocellular carcinoma,lenvatinib,19 December 2018,,https://www.nice.org.uk/guidance/ta551,https://www.nice.org.uk/guidance/ta551/resources/lenvatinib-for-untreated-advanced-hepatocellular-carcinoma-pdf-82607016833989
552,Liposomal cytarabine–daunorubicin for untreated acute myeloid leukaemia,liposomal cytarabine–daunorubicin,19 December 2018,,https://www.nice.org.uk/guidance/ta552,https://www.nice.org.uk/guidance/ta552/resources/liposomal-cytarabinedaunorubicin-for-untreated-acute-myeloid-leukaemia-pdf-82607018513605
553,Pembrolizumab for adjuvant treatment of resected melanoma with high risk of recurrence,pembrolizumab,19 December 2018,,https://www.nice.org.uk/guidance/ta553,https://www.nice.org.uk/guidance/ta553/resources/ta553.pdf
554,Tisagenlecleucel for treating relapsed or refractory B-cell acute lymphoblastic leukaemia in people aged up to 25 years,tisagenlecleucel,21 December 2018,,https://www.nice.org.uk/guidance/ta554,https://www.nice.org.uk/guidance/ta554/resources/ta554.pdf
555,Regorafenib for previously treated advanced hepatocellular carcinoma,regorafenib,09 January 2019,,https://www.nice.org.uk/guidance/ta555,https://www.nice.org.uk/guidance/ta555/resources/regorafenib-for-previously-treated-advanced-hepatocellular-carcinoma-pdf-82607023552453
556,Darvadstrocel for treating complex perianal fistulas in Crohn’s disease,darvadstrocel,09 January 2019,,https://www.nice.org.uk/guidance/ta556,https://www.nice.org.uk/guidance/ta556/resources/darvadstrocel-for-treating-complex-perianal-fistulas-in-crohns-disease-pdf-82607025232069
557,"Pembrolizumab with pemetrexed and platinum chemotherapy for untreated, metastatic, non-squamous non-small-cell lung cancer",pembrolizumab with pemetrexed,10 January 2019,,https://www.nice.org.uk/guidance/ta557,https://www.nice.org.uk/guidance/ta557/resources/ta557.pdf
558,Nivolumab for adjuvant treatment of completely resected melanoma with lymph node involvement or metastatic disease,nivolumab,23 January 2019,,https://www.nice.org.uk/guidance/ta558,https://www.nice.org.uk/guidance/ta558/resources/ta558.pdf
559,Axicabtagene ciloleucel for treating diffuse large B-cell lymphoma and primary mediastinal large B-cell lymphoma after 2 or more systemic therapies,axicabtagene ciloleucel,23 January 2019,,https://www.nice.org.uk/guidance/ta559,https://www.nice.org.uk/guidance/ta559/resources/ta559.pdf
560,"Bevacizumab with carboplatin, gemcitabine and paclitaxel for treating the first recurrence of platinum-sensitive advanced ovarian cancer (terminated appraisal)","bevacizumab with carboplatin, gemcitabine",20 February 2019,,https://www.nice.org.uk/guidance/ta560,https://www.nice.org.uk/guidance/ta560/resources/bevacizumab-with-carboplatin-gemcitabine-and-paclitaxel-for-treating-the-first-recurrence-of-platinumsensitive-advanced-ovarian-cancer-terminated-appraisal-pdf-82607075620549
561,Venetoclax with rituximab for previously treated chronic lymphocytic leukaemia,venetoclax with rituximab,27 February 2019,,https://www.nice.org.uk/guidance/ta561,https://www.nice.org.uk/guidance/ta561/resources/venetoclax-with-rituximab-for-previously-treated-chronic-lymphocytic-leukaemia-pdf-82607077300165
562,Encorafenib with binimetinib for unresectable or metastatic BRAF V600 mutation-positive melanoma,encorafenib with binimetinib,27 February 2019,,https://www.nice.org.uk/guidance/ta562,https://www.nice.org.uk/guidance/ta562/resources/encorafenib-with-binimetinib-for-unresectable-or-metastatic-braf-v600-mutationpositive-melanoma-pdf-82607078979781
563,"Abemaciclib with an aromatase inhibitor for previously untreated, hormone receptor-positive, HER2-negative, locally advanced or metastatic breast cancer",abemaciclib with an aromatase inhibitor,27 February 2019,,https://www.nice.org.uk/guidance/ta563,https://www.nice.org.uk/guidance/ta563/resources/abemaciclib-with-an-aromatase-inhibitor-for-previously-untreated-hormone-receptorpositive-her2negative-locally-advanced-or-metastatic-breast-cancer-pdf-82607080659397
564,Dabrafenib with trametinib for treating advanced metastatic BRAF V600E mutation-positive non-small-cell lung cancer (terminated appraisal),dabrafenib with trametinib,27 February 2019,,https://www.nice.org.uk/guidance/ta564,https://www.nice.org.uk/guidance/ta564/resources/ta564.pdf
565,Benralizumab for treating severe eosinophilic asthma,benralizumab,06 March 2019,Not recommended,https://www.nice.org.uk/guidance/ta565,https://www.nice.org.uk/guidance/ta565/resources/benralizumab-for-treating-severe-eosinophilic-asthma-pdf-82607084018629
566,Cochlear implants for children and adults with severe to profound deafness,cochlear implants,07 March 2019,,https://www.nice.org.uk/guidance/ta566,https://www.nice.org.uk/guidance/ta566/resources/cochlear-implants-for-children-and-adults-with-severe-to-profound-deafness-pdf-82607085698245
567,Tisagenlecleucel for treating relapsed or refractory diffuse large B-cell lymphoma after 2 or more systemic therapies,tisagenlecleucel,13 March 2019,,https://www.nice.org.uk/guidance/ta567,https://www.nice.org.uk/guidance/ta567/resources/ta567.pdf
568,Abatacept for treating psoriatic arthritis after DMARDs (terminated appraisal),abatacept,13 March 2019,,https://www.nice.org.uk/guidance/ta568,https://www.nice.org.uk/guidance/ta568/resources/abatacept-for-treating-psoriatic-arthritis-after-dmards-terminated-appraisal-pdf-82607089057477
569,Pertuzumab for adjuvant treatment of HER2-positive early stage breast cancer,pertuzumab,20 March 2019,,https://www.nice.org.uk/guidance/ta569,https://www.nice.org.uk/guidance/ta569/resources/pertuzumab-for-adjuvant-treatment-of-her2positive-early-stage-breast-cancer-pdf-82607090737093
570,Pembrolizumab for treating recurrent or metastatic squamous cell carcinoma of the head and neck after platinum-based chemotherapy (terminated appraisal),pembrolizumab,20 March 2019,,https://www.nice.org.uk/guidance/ta570,https://www.nice.org.uk/guidance/ta570/resources/pembrolizumab-for-treating-recurrent-or-metastatic-squamous-cell-carcinoma-of-the-head-and-neck-after-platinumbased-chemotherapy-terminated-appraisal-pdf-82607136086725
571,Brigatinib for treating ALK-positive advanced non-small-cell lung cancer after crizotinib,brigatinib,20 March 2019,,https://www.nice.org.uk/guidance/ta571,https://www.nice.org.uk/guidance/ta571/resources/brigatinib-for-treating-alkpositive-advanced-nonsmallcell-lung-cancer-after-crizotinib-pdf-82607137766341
572,Ertugliflozin as monotherapy or with metformin for treating type 2 diabetes,ertugliflozin as monotherapy or with metformin,27 March 2019,,https://www.nice.org.uk/guidance/ta572,https://www.nice.org.uk/guidance/ta572/resources/ertugliflozin-as-monotherapy-or-with-metformin-for-treating-type-2-diabetes-pdf-82607139445957
573,Daratumumab with bortezomib and dexamethasone for previously treated multiple myeloma,daratumumab with bortezomib,10 April 2019,,https://www.nice.org.uk/guidance/ta573,https://www.nice.org.uk/guidance/ta573/resources/ta573.pdf
574,Certolizumab pegol for treating moderate to severe plaque psoriasis,certolizumab pegol,17 April 2019,,https://www.nice.org.uk/guidance/ta574,https://www.nice.org.uk/guidance/ta574/resources/certolizumab-pegol-for-treating-moderate-to-severe-plaque-psoriasis-pdf-82607142805189
575,Tildrakizumab for treating moderate to severe plaque psoriasis,tildrakizumab,17 April 2019,,https://www.nice.org.uk/guidance/ta575,https://www.nice.org.uk/guidance/ta575/resources/tildrakizumab-for-treating-moderate-to-severe-plaque-psoriasis-pdf-82607144484805
576,Bosutinib for untreated chronic myeloid leukaemia (terminated appraisal),bosutinib,17 April 2019,,https://www.nice.org.uk/guidance/ta576,https://www.nice.org.uk/guidance/ta576/resources/bosutinib-for-untreated-chronic-myeloid-leukaemia-terminated-appraisal-pdf-82607146164421
577,Brentuximab vedotin for treating CD30-positive cutaneous T-cell lymphoma,brentuximab vedotin,24 April 2019,,https://www.nice.org.uk/guidance/ta577,https://www.nice.org.uk/guidance/ta577/resources/brentuximab-vedotin-for-treating-cd30positive-cutaneous-tcell-lymphoma-pdf-82607147844037
578,Durvalumab for treating locally advanced unresectable non-small-cell lung cancer after platinum-based chemoradiation,durvalumab,01 May 2019,,https://www.nice.org.uk/guidance/ta578,https://www.nice.org.uk/guidance/ta578/resources/ta578.pdf
579,"Abemaciclib with fulvestrant for treating hormone receptor-positive, HER2-negative advanced breast cancer after endocrine therapy",abemaciclib with fulvestrant,08 May 2019,,https://www.nice.org.uk/guidance/ta579,https://www.nice.org.uk/guidance/ta579/resources/ta579.pdf
580,Enzalutamide for hormone-relapsed non-metastatic prostate cancer,enzalutamide,15 May 2019,,https://www.nice.org.uk/guidance/ta580,https://www.nice.org.uk/guidance/ta580/resources/enzalutamide-for-hormonerelapsed-nonmetastatic-prostate-cancer-pdf-82607196552901
581,Nivolumab with ipilimumab for untreated advanced renal cell carcinoma,nivolumab with ipilimumab,15 May 2019,,https://www.nice.org.uk/guidance/ta581,https://www.nice.org.uk/guidance/ta581/resources/ta581.pdf
582,Cabozantinib for previously treated advanced hepatocellular carcinoma (terminated appraisal),cabozantinib,24 May 2019,,https://www.nice.org.uk/guidance/ta582,https://www.nice.org.uk/guidance/ta582/resources/ta582.pdf
583,Ertugliflozin with metformin and a dipeptidyl peptidase-4 inhibitor for treating type 2 diabetes,ertugliflozin with metformin,05 June 2019,,https://www.nice.org.uk/guidance/ta583,https://www.nice.org.uk/guidance/ta583/resources/ertugliflozin-with-metformin-and-a-dipeptidyl-peptidase4-inhibitor-for-treating-type-2-diabetes-pdf-82607201591749
584,Atezolizumab in combination for treating metastatic non-squamous non-small-cell lung cancer,atezolizumab in combination,05 June 2019,,https://www.nice.org.uk/guidance/ta584,https://www.nice.org.uk/guidance/ta584/resources/atezolizumab-in-combination-for-treating-metastatic-nonsquamous-nonsmallcell-lung-cancer-pdf-82607203271365
585,Ocrelizumab for treating primary progressive multiple sclerosis,ocrelizumab,12 June 2019,,https://www.nice.org.uk/guidance/ta585,https://www.nice.org.uk/guidance/ta585/resources/ocrelizumab-for-treating-primary-progressive-multiple-sclerosis-pdf-82607204950981
586,Lenalidomide plus dexamethasone for multiple myeloma after 1 treatment with bortezomib,lenalidomide plus dexamethasone,26 June 2019,,https://www.nice.org.uk/guidance/ta586,https://www.nice.org.uk/guidance/ta586/resources/lenalidomide-plus-dexamethasone-for-multiple-myeloma-after-1-treatment-with-bortezomib-pdf-82607206630597
587,Lenalidomide plus dexamethasone for previously untreated multiple myeloma,lenalidomide plus dexamethasone,26 June 2019,,https://www.nice.org.uk/guidance/ta587,https://www.nice.org.uk/guidance/ta587/resources/lenalidomide-plus-dexamethasone-for-previously-untreated-multiple-myeloma-pdf-82607208310213
588,Nusinersen for treating spinal muscular atrophy,nusinersen,24 July 2019,,https://www.nice.org.uk/guidance/ta588,https://www.nice.org.uk/guidance/ta588/resources/nusinersen-for-treating-spinal-muscular-atrophy-pdf-82607209989829
589,Blinatumomab for treating acute lymphoblastic leukaemia in remission with minimal residual disease activity,blinatumomab,24 July 2019,,https://www.nice.org.uk/guidance/ta589,https://www.nice.org.uk/guidance/ta589/resources/blinatumomab-for-treating-acute-lymphoblastic-leukaemia-in-remission-with-minimal-residual-disease-activity-pdf-82607211669445
590,Fluocinolone acetonide intravitreal implant for treating recurrent non-infectious uveitis,fluocinolone acetonide intravitreal implant,31 July 2019,,https://www.nice.org.uk/guidance/ta590,https://www.nice.org.uk/guidance/ta590/resources/fluocinolone-acetonide-intravitreal-implant-for-treating-recurrent-noninfectious-uveitis-pdf-82607257019077
591,Letermovir for preventing cytomegalovirus disease after a stem cell transplant,letermovir,31 July 2019,,https://www.nice.org.uk/guidance/ta591,https://www.nice.org.uk/guidance/ta591/resources/letermovir-for-preventing-cytomegalovirus-disease-after-a-stem-cell-transplant-pdf-82607258698693
592,Cemiplimab for treating metastatic or locally advanced cutaneous squamous cell carcinoma,cemiplimab,07 August 2019,,https://www.nice.org.uk/guidance/ta592,https://www.nice.org.uk/guidance/ta592/resources/ta592.pdf
593,"Ribociclib with fulvestrant for treating hormone receptor-positive, HER2-negative, advanced breast cancer",ribociclib with fulvestrant,14 August 2019,,https://www.nice.org.uk/guidance/ta593,https://www.nice.org.uk/guidance/ta593/resources/ta593.pdf
594,Brentuximab vedotin for untreated advanced Hodgkin lymphoma (terminated appraisal),brentuximab vedotin,14 August 2019,,https://www.nice.org.uk/guidance/ta594,https://www.nice.org.uk/guidance/ta594/resources/ta594.pdf
595,Dacomitinib for untreated EGFR mutation-positive non-small-cell lung cancer,dacomitinib,14 August 2019,,https://www.nice.org.uk/guidance/ta595,https://www.nice.org.uk/guidance/ta595/resources/dacomitinib-for-untreated-egfr-mutationpositive-nonsmallcell-lung-cancer-pdf-82607265417157
596,Risankizumab for treating moderate to severe plaque psoriasis,risankizumab,21 August 2019,,https://www.nice.org.uk/guidance/ta596,https://www.nice.org.uk/guidance/ta596/resources/risankizumab-for-treating-moderate-to-severe-plaque-psoriasis-pdf-82607267096773
597,Dapagliflozin with insulin for treating type 1 diabetes,dapagliflozin with insulin,28 August 2019,,https://www.nice.org.uk/guidance/ta597,https://www.nice.org.uk/guidance/ta597/resources/ta597.pdf
598,"Olaparib for maintenance treatment of BRCA mutation-positive advanced ovarian, fallopian tube or peritoneal cancer after response to first-line platinum-based chemotherapy",olaparib,28 August 2019,,https://www.nice.org.uk/guidance/ta598,https://www.nice.org.uk/guidance/ta598/resources/ta598.pdf
599,Sodium zirconium cyclosilicate for treating hyperkalaemia,sodium zirconium cyclosilicate,04 September 2019,,https://www.nice.org.uk/guidance/ta599,https://www.nice.org.uk/guidance/ta599/resources/ta599.pdf
600,Pembrolizumab with carboplatin and paclitaxel for untreated metastatic squamous non-small-cell lung cancer,pembrolizumab with carboplatin,11 September 2019,,https://www.nice.org.uk/guidance/ta600,https://www.nice.org.uk/guidance/ta600/resources/ta600.pdf
601,Bezlotoxumab for preventing recurrent Clostridium difficile infection (terminated appraisal),bezlotoxumab,25 September 2019,,https://www.nice.org.uk/guidance/ta601,https://www.nice.org.uk/guidance/ta601/resources/ta601.pdf
602,Pomalidomide with bortezomib and dexamethasone for treating relapsed or refractory multiple myeloma (terminated appraisal),pomalidomide with bortezomib,25 September 2019,,https://www.nice.org.uk/guidance/ta602,https://www.nice.org.uk/guidance/ta602/resources/pomalidomide-with-bortezomib-and-dexamethasone-for-treating-relapsed-or-refractory-multiple-myeloma-terminated-appraisal-pdf-82608892965061
603,Lenalidomide with bortezomib and dexamethasone for untreated multiple myeloma (terminated appraisal),lenalidomide with bortezomib,25 September 2019,,https://www.nice.org.uk/guidance/ta603,https://www.nice.org.uk/guidance/ta603/resources/lenalidomide-with-bortezomib-and-dexamethasone-for-untreated-multiple-myeloma-terminated-appraisal-pdf-82608894644677
604,Idelalisib for treating refractory follicular lymphoma,idelalisib,02 October 2019,,https://www.nice.org.uk/guidance/ta604,https://www.nice.org.uk/guidance/ta604/resources/idelalisib-for-treating-refractory-follicular-lymphoma-pdf-82608896324293
605,Xeomin (botulinum neurotoxin type A) for treating chronic sialorrhoea,xeomin (botulinum neurotoxin type a),09 October 2019,,https://www.nice.org.uk/guidance/ta605,https://www.nice.org.uk/guidance/ta605/resources/xeomin-botulinum-neurotoxin-type-a-for-treating-chronic-sialorrhoea-pdf-82608898003909
606,Lanadelumab for preventing recurrent attacks of hereditary angioedema,lanadelumab,16 October 2019,,https://www.nice.org.uk/guidance/ta606,https://www.nice.org.uk/guidance/ta606/resources/lanadelumab-for-preventing-recurrent-attacks-of-hereditary-angioedema-pdf-82608899683525
607,Rivaroxaban for preventing atherothrombotic events in people with coronary or peripheral artery disease,rivaroxaban,17 October 2019,,https://www.nice.org.uk/guidance/ta607,https://www.nice.org.uk/guidance/ta607/resources/rivaroxaban-for-preventing-atherothrombotic-events-in-people-with-coronary-or-peripheral-artery-disease-pdf-82608901363141
608,Ibrutinib with rituximab for treating Waldenstrom’s macroglobulinaemia (terminated appraisal),ibrutinib with rituximab,30 October 2019,,https://www.nice.org.uk/guidance/ta608,https://www.nice.org.uk/guidance/ta608/resources/ibrutinib-with-rituximab-for-treating-waldenstroms-macroglobulinaemia-terminated-appraisal-pdf-82608903042757
609,Ramucirumab for treating unresectable hepatocellular carcinoma after sorafenib (terminated appraisal),ramucirumab,30 October 2019,,https://www.nice.org.uk/guidance/ta609,https://www.nice.org.uk/guidance/ta609/resources/ramucirumab-for-treating-unresectable-hepatocellular-carcinoma-after-sorafenib-terminated-appraisal-pdf-82608904722373
610,Pentosan polysulfate sodium for treating bladder pain syndrome,pentosan polysulfate sodium,13 November 2019,,https://www.nice.org.uk/guidance/ta610,https://www.nice.org.uk/guidance/ta610/resources/pentosan-polysulfate-sodium-for-treating-bladder-pain-syndrome-pdf-82608950072005
611,"Rucaparib for maintenance treatment of relapsed platinum-sensitive ovarian, fallopian tube or peritoneal cancer",rucaparib,13 November 2019,,https://www.nice.org.uk/guidance/ta611,https://www.nice.org.uk/guidance/ta611/resources/ta611.pdf
612,"Neratinib for extended adjuvant treatment of hormone receptor-positive, HER2-positive early stage breast cancer after adjuvant trastuzumab",neratinib,20 November 2019,,https://www.nice.org.uk/guidance/ta612,https://www.nice.org.uk/guidance/ta612/resources/neratinib-for-extended-adjuvant-treatment-of-hormone-receptorpositive-her2positive-early-stage-breast-cancer-after-adjuvant-trastuzumab-pdf-82608953431237
613,Fluocinolone acetonide intravitreal implant for treating chronic diabetic macular oedema in phakic eyes after an inadequate response to previous therapy,fluocinolone acetonide intravitreal implant,20 November 2019,,https://www.nice.org.uk/guidance/ta613,https://www.nice.org.uk/guidance/ta613/resources/ta613.pdf
614,Cannabidiol with clobazam for treating seizures associated with Dravet syndrome,cannabidiol with clobazam,18 December 2019,,https://www.nice.org.uk/guidance/ta614,https://www.nice.org.uk/guidance/ta614/resources/cannabidiol-with-clobazam-for-treating-seizures-associated-with-dravet-syndrome-pdf-82608956790469
615,Cannabidiol with clobazam for treating seizures associated with Lennox–Gastaut syndrome,cannabidiol with clobazam,18 December 2019,,https://www.nice.org.uk/guidance/ta615,https://www.nice.org.uk/guidance/ta615/resources/cannabidiol-with-clobazam-for-treating-seizures-associated-with-lennoxgastaut-syndrome-pdf-82608958470085
616,Cladribine for treating relapsing–remitting multiple sclerosis,cladribine,19 December 2019,,https://www.nice.org.uk/guidance/ta616,https://www.nice.org.uk/guidance/ta616/resources/cladribine-for-treating-relapsingremitting-multiple-sclerosis-pdf-82608960149701
617,Lusutrombopag for treating thrombocytopenia in people with chronic liver disease needing a planned invasive procedure,lusutrombopag,08 January 2020,,https://www.nice.org.uk/guidance/ta617,https://www.nice.org.uk/guidance/ta617/resources/lusutrombopag-for-treating-thrombocytopenia-in-people-with-chronic-liver-disease-needing-a-planned-invasive-procedure-pdf-82608961829317
618,Atezolizumab with carboplatin and nab-paclitaxel for untreated advanced non-squamous non-small-cell lung cancer (terminated appraisal),atezolizumab with carboplatin,15 January 2020,,https://www.nice.org.uk/guidance/ta618,https://www.nice.org.uk/guidance/ta618/resources/atezolizumab-with-carboplatin-and-nabpaclitaxel-for-untreated-advanced-nonsquamous-nonsmallcell-lung-cancer-terminated-appraisal-pdf-82608963508933
619,"Palbociclib with fulvestrant for treating hormone receptor-positive, HER2-negative, advanced breast cancer",palbociclib with fulvestrant,15 January 2020,,https://www.nice.org.uk/guidance/ta619,https://www.nice.org.uk/guidance/ta619/resources/ta619.pdf
620,"Olaparib for maintenance treatment of relapsed platinum-sensitive ovarian, fallopian tube or peritoneal cancer",olaparib,15 January 2020,,https://www.nice.org.uk/guidance/ta620,https://www.nice.org.uk/guidance/ta620/resources/ta620.pdf
621,Osimertinib for untreated EGFR mutation-positive non-small-cell lung cancer,osimertinib,22 January 2020,,https://www.nice.org.uk/guidance/ta621,https://www.nice.org.uk/guidance/ta621/resources/ta621.pdf
622,Sotagliflozin with insulin for treating type 1 diabetes,sotagliflozin with insulin,12 February 2020,,https://www.nice.org.uk/guidance/ta622,https://www.nice.org.uk/guidance/ta622/resources/ta622.pdf
623,Patiromer for treating hyperkalaemia,patiromer,13 February 2020,,https://www.nice.org.uk/guidance/ta623,https://www.nice.org.uk/guidance/ta623/resources/patiromer-for-treating-hyperkalaemia-pdf-82609015577029
624,Peginterferon beta-1a for treating relapsing–remitting multiple sclerosis,peginterferon beta-1a,19 February 2020,,https://www.nice.org.uk/guidance/ta624,https://www.nice.org.uk/guidance/ta624/resources/peginterferon-beta1a-for-treating-relapsingremitting-multiple-sclerosis-pdf-82609017256645
625,Recombinant human parathyroid hormone for treating hypoparathyroidism (terminated appraisal),recombinant human parathyroid hormone,04 March 2020,,https://www.nice.org.uk/guidance/ta625,https://www.nice.org.uk/guidance/ta625/resources/recombinant-human-parathyroid-hormone-for-treating-hypoparathyroidism-terminated-appraisal-pdf-82609018936261
626,Avatrombopag for treating thrombocytopenia in people with chronic liver disease needing a planned invasive procedure,avatrombopag,24 June 2020,,https://www.nice.org.uk/guidance/ta626,https://www.nice.org.uk/guidance/ta626/resources/avatrombopag-for-treating-thrombocytopenia-in-people-with-chronic-liver-disease-needing-a-planned-invasive-procedure-pdf-82609020615877
627,Lenalidomide with rituximab for previously treated follicular lymphoma,lenalidomide with rituximab,07 April 2020,,https://www.nice.org.uk/guidance/ta627,https://www.nice.org.uk/guidance/ta627/resources/lenalidomide-with-rituximab-for-previously-treated-follicular-lymphoma-pdf-82609022295493
628,Lorlatinib for previously treated ALK-positive advanced non-small-cell lung cancer,lorlatinib,13 May 2020,Recommended,https://www.nice.org.uk/guidance/ta628,https://www.nice.org.uk/guidance/ta628/resources/lorlatinib-for-previously-treated-alkpositive-advanced-nonsmallcell-lung-cancer-pdf-82609023975109
629,Obinutuzumab with bendamustine for treating follicular lymphoma after rituximab,obinutuzumab with bendamustine,13 May 2020,,https://www.nice.org.uk/guidance/ta629,https://www.nice.org.uk/guidance/ta629/resources/obinutuzumab-with-bendamustine-for-treating-follicular-lymphoma-after-rituximab-pdf-82609025654725
630,Larotrectinib for treating NTRK fusion-positive solid tumours,larotrectinib,27 May 2020,,https://www.nice.org.uk/guidance/ta630,https://www.nice.org.uk/guidance/ta630/resources/larotrectinib-for-treating-ntrk-fusionpositive-solid-tumours-pdf-82609071004357
631,Fremanezumab for preventing migraine,fremanezumab,03 June 2020,,https://www.nice.org.uk/guidance/ta631,https://www.nice.org.uk/guidance/ta631/resources/ta631.pdf
632,Trastuzumab emtansine for adjuvant treatment of HER2-positive early breast cancer,trastuzumab emtansine,10 June 2020,,https://www.nice.org.uk/guidance/ta632,https://www.nice.org.uk/guidance/ta632/resources/trastuzumab-emtansine-for-adjuvant-treatment-of-her2positive-early-breast-cancer-pdf-82609074363589
633,Ustekinumab for treating moderately to severely active ulcerative colitis,ustekinumab,17 June 2020,,https://www.nice.org.uk/guidance/ta633,https://www.nice.org.uk/guidance/ta633/resources/ustekinumab-for-treating-moderately-to-severely-active-ulcerative-colitis-pdf-82609076043205
634,Daratumumab with lenalidomide and dexamethasone for untreated multiple myeloma (terminated appraisal),daratumumab with lenalidomide,30 June 2020,,https://www.nice.org.uk/guidance/ta634,https://www.nice.org.uk/guidance/ta634/resources/daratumumab-with-lenalidomide-and-dexamethasone-for-untreated-multiple-myeloma-terminated-appraisal-pdf-82609077722821
635,Ramucirumab with erlotinib for untreated EGFR-positive metastatic non-small-cell lung cancer (terminated appraisal),ramucirumab with erlotinib,30 June 2020,,https://www.nice.org.uk/guidance/ta635,https://www.nice.org.uk/guidance/ta635/resources/ramucirumab-with-erlotinib-for-untreated-egfrpositive-metastatic-nonsmallcell-lung-cancer-terminated-appraisal-pdf-82609079402437
636,Eculizumab for treating refractory myasthenia gravis (terminated appraisal),eculizumab,30 June 2020,,https://www.nice.org.uk/guidance/ta636,https://www.nice.org.uk/guidance/ta636/resources/eculizumab-for-treating-refractory-myasthenia-gravis-terminated-appraisal-pdf-82609081082053
637,Ranibizumab for treating diabetic retinopathy (terminated appraisal),ranibizumab,30 June 2020,,https://www.nice.org.uk/guidance/ta637,https://www.nice.org.uk/guidance/ta637/resources/ranibizumab-for-treating-diabetic-retinopathy-terminated-appraisal-pdf-82609082761669
638,Atezolizumab with carboplatin and etoposide for untreated extensive-stage small-cell lung cancer,atezolizumab with carboplatin,01 July 2020,,https://www.nice.org.uk/guidance/ta638,https://www.nice.org.uk/guidance/ta638/resources/atezolizumab-with-carboplatin-and-etoposide-for-untreated-extensivestage-smallcell-lung-cancer-pdf-82609084441285
639,"Atezolizumab with nab-paclitaxel for untreated PD-L1-positive, locally advanced or metastatic, triple-negative breast cancer",atezolizumab with nab-paclitaxel,01 July 2020,,https://www.nice.org.uk/guidance/ta639,https://www.nice.org.uk/guidance/ta639/resources/atezolizumab-with-nabpaclitaxel-for-untreated-pdl1positive-locally-advanced-or-metastatic-triplenegative-breast-cancer-pdf-82609086120901
640,Treosulfan with fludarabine for malignant disease before allogeneic stem cell transplant,treosulfan with fludarabine,05 August 2020,,https://www.nice.org.uk/guidance/ta640,https://www.nice.org.uk/guidance/ta640/resources/treosulfan-with-fludarabine-for-malignant-disease-before-allogeneic-stem-cell-transplant-pdf-82609131470533
641,Brentuximab vedotin in combination for untreated systemic anaplastic large cell lymphoma,brentuximab vedotin in combination,12 August 2020,,https://www.nice.org.uk/guidance/ta641,https://www.nice.org.uk/guidance/ta641/resources/brentuximab-vedotin-in-combination-for-untreated-systemic-anaplastic-large-cell-lymphoma-pdf-82609133150149
642,Gilteritinib for treating relapsed or refractory acute myeloid leukaemia,gilteritinib,12 August 2020,,https://www.nice.org.uk/guidance/ta642,https://www.nice.org.uk/guidance/ta642/resources/gilteritinib-for-treating-relapsed-or-refractory-acute-myeloid-leukaemia-pdf-82609134829765
643,Entrectinib for treating ROS1-positive advanced non-small-cell lung cancer,entrectinib,12 August 2020,,https://www.nice.org.uk/guidance/ta643,https://www.nice.org.uk/guidance/ta643/resources/entrectinib-for-treating-ros1positive-advanced-nonsmallcell-lung-cancer-pdf-82609136509381
644,Entrectinib for treating NTRK fusion-positive solid tumours,entrectinib,12 August 2020,,https://www.nice.org.uk/guidance/ta644,https://www.nice.org.uk/guidance/ta644/resources/ta644.pdf
645,Avelumab with axitinib for untreated advanced renal cell carcinoma,avelumab with axitinib,02 September 2020,,https://www.nice.org.uk/guidance/ta645,https://www.nice.org.uk/guidance/ta645/resources/ta645.pdf
