drug,year,month,pbac_date,filename
calcipotriol-with-betamethasone,2025,11,2025-11-01,calcipotriol-with-betamethasone-psd-november-2025.pdf
calcium,2019,3,2019-03-01,calcium-psd-march-2019.pdf
capivasertib,2024,11,2024-11-01,capivasertib PSD-november-2024-with-addendum-march-2025.pdf
carbohydrate-formula,2020,7,2020-07-01,carbohydrate-formula-psd-july-2020.pdf
carbohydrate-formula-sos-products,2016,11,2016-11-01,carbohydrate-formula-sos-products-psd-november-2016.pdf
carglumic-acid,2015,7,2015-07-01,carglumic-acid-psd-july-2015.pdf
cariprazine,2020,11,2020-11-01,cariprazine-psd-nov-2020.pdf
carmellose-hypromellose,2019,7,2019-07-01,carmellose%20hypromellose-psd-july-2019.pdf
carmellose-hypromellose,2018,7,2018-07-01,carmellose-hypromellose-psd-july-2018.pdf
carmellose-with-glycerol-and-hyaluronic-acid,2023,3,2023-03-01,carmellose-with-glycerol-and-hyaluronic-acid-psd-03-2023-05-2023.pdf
cationic-opthalmic-emulsion,2020,7,2020-07-01,cationic-opthalmic-emulsion-psd-july-2020.pdf
cer-pneumococcal,2019,7,2019-07-01,cer-pneumococcal-psd-july-2019.pdf
cerliponase-alfa,2018,7,2018-07-01,cerliponase-alfa-psd-july-2018.pdf
cetrorelix,2025,11,2025-11-01,cetrorelix-psd-november-2025.pdf
chlormethine-hydrochloride,2023,3,2023-03-01,chlormethine-hydrochloride-psd-03-2023.pdf
chlormethine-hydrochloride,2023,11,2023-11-01,chlormethine-hydrochloride-psd-nov-2023.pdf
chorionic-gonadotrophin,2017,3,2017-03-01,chorionic-gonadotrophin-psd-march-2017.pdf
cipaglucosidase-and-miglustat,2025,3,2025-03-01,cipaglucosidase-and-miglustat-psd-march-2025.pdf
citrulline,2015,11,2015-11-01,citrulline-psd-november-2015.pdf
clobetasol,2013,11,2013-11-01,clobetasol-psd-11-2013.pdf
clobetasol,2024,11,2024-11-01,clobetasol-psd-nov-2024.pdf
clostridium-botulinum,2020,7,2020-07-01,clostridium-botulinum-psd-july-2020.pdf
clostridium-botulinum-toxin-a,2019,3,2019-03-01,clostridium-botulinum-toxin-a-psd-march-2019.pdf
clostridium-botulinum-toxin,2019,7,2019-07-01,clostridium-botulinum-toxin-psd-july-2019.pdf
clozapine,2018,7,2018-07-01,clozapine-psd-july-2018.pdf
coal-tar-prepared,2014,11,2014-11-01,coal-tar-prepared-psd-11-2014.pdf
cobicistat,2013,3,2013-03-01,cobicistat-psd-03-2013.pdf
cobicistat-tybost,2013,3,2013-03-01,cobicistat-tybost-psd-03-2013.pdf
continued-dispensing,2021,11,2021-11-01,continued-dispensing-psd-nov-2021.pdf
corifollitropin,2013,3,2013-03-01,corifollitropin-psd-03-2013.pdf
dactylis-glomerata,2016,7,2016-07-01,dactylis-glomerata-psd-july-2016.pdf
dapsone,2025,3,2025-03-01,dapsone-psd-march-2025.pdf
darbepoetin,2019,3,2019-03-01,darbepoetin-psd-march-2019.pdf
darunavir-cobicistat-emtricitabine-tenofovir,2019,11,2019-11-01,darunavir-cobicistat-emtricitabine-tenofovir-psd-november-2019.pdf
darunavir-cobicistat,2016,3,2016-03-01,darunavir-cobicistat-psd-march-2016.pdf
darunavir-cobicistat,2015,11,2015-11-01,darunavir-cobicistat-psd-november-2015.pdf
daunorubicin-with-cytarabine,2023,7,2023-07-01,daunorubicin-with-cytarabine-psd-july-2023.pdf
daunorubicin-with-cytarabine,2023,11,2023-11-01,daunorubicin-with-cytarabine-psd-nov-2023.pdf
deferasirox,2015,7,2015-07-01,deferasirox-psd-july-2015.pdf
deferasirox,2018,7,2018-07-01,deferasirox-psd-july-2018.pdf
deferasirox,2020,11,2020-11-01,deferasirox-psd-nov-2020.pdf
deferiprone,2017,11,2017-11-01,deferiprone-psd-november-2017.pdf
delgocitinib,2025,11,2025-11-01,delgocitinib-psd-november-2025.pdf
desmopressin,2025,11,2025-11-01,desmopressin-psd-november-2025.pdf
deutetrabenazine,2021,3,2021-03-01,deutetrabenazine-psd-mar-2021.pdf
dienogest,2024,7,2024-07-01,dienogest-psd-july-2024.pdf
dolutegravir-lamivudine-abacavir,2014,11,2014-11-01,dolutegravir-lamivudine-abacavir-psd-11-2014.pdf
dolutegravir,2013,11,2013-11-01,dolutegravir-psd-11-2013.pdf
dolutegravir-rilpivirine,2018,7,2018-07-01,dolutegravir-rilpivirine-psd-july-2018.pdf
dolutegravir-with-lamivudine,2020,7,2020-07-01,dolutegravir-with%20lamivudine-psd-july-2020.pdf
dolutegravir-with-lamivudine,2019,7,2019-07-01,dolutegravir-with-lamivudine-psd-7-2019-addenda-08-2019-and-09-2019.pdf
dolutegravir-with-lamivudine,2019,7,2019-07-01,dolutegravir-with-lamivudine-psd-july-2019.pdf
donanemab,2025,7,2025-07-01,donanemab-psd-july-2025.pdf
dorzolamide-and-timolol,2022,3,2022-03-01,dorzolamide-and-timolol-psd-march-2022.pdf
drospirenone,2024,11,2024-11-01,drospirenone-psd-nov-2024.pdf
drospirenone-with-ethinylestradiol,2024,7,2024-07-01,drospirenone-with-ethinylestradiol-psd-july 2024-nov-2024.pdf
drugs-hepatitis-c-stakeholder-meeting-outcomes,2019,3,2019-03-01,drugs-hepatitis-c-stakeholder-meeting-outcomes-psd-march-2019.pdf
dtpa-hb-ipv-hib,2022,3,2022-03-01,dtpa-hb-ipv-hib-psd-march-2022.pdf
dtpa-hepb-ivp-hib-vaccine,2015,3,2015-03-01,dtpa-hepb-ivp-hib-vaccine-psd-march-2015.pdf
dtpa-vaccine,2014,11,2014-11-01,dtpa-vaccine-psd-11-2014.pdf
dtpa-vaccine,2016,7,2016-07-01,dtpa-vaccine-psd-july-2016.pdf
dtpa-vaccine,2017,3,2017-03-01,dtpa-vaccine-psd-march-2017.pdf
dulaglutide,2020,7,2020-07-01,dulaglutide-psd-july-2020.pdf
dulaglutide,2022,5,2022-05-01,dulaglutide-psd-may-2022.pdf
dulaglutide,2017,11,2017-11-01,dulaglutide-psd-november-2017.pdf
dulaglutide,2019,11,2019-11-01,dulaglutide-psd-november-2019.pdf
dulaglutide-s19a,2022,10,2022-10-01,dulaglutide-s19A-psd-october-2022.pdf
dupilimumab,2020,3,2020-03-01,dupilimumab-psd-march-2020.pdf
edaravone,2024,3,2024-03-01,edaravone-psd-march-2024.pdf
edaravone,2023,11,2023-11-01,edaravone-psd-nov-2023.pdf
efgartigimod-alfa,2025,3,2025-03-01,efgartigimod-alfa-psd-march-2025.pdf
efgartigimod-alfa,2025,11,2025-11-01,efgartigimod-alfa-psd-november-2025.pdf
eflornithine,2025,3,2025-03-01,eflornithine-psd-march-2025.pdf
elacestrant,2025,3,2025-03-01,elacestrant-psd-march-2025.pdf
elafibranor,2025,3,2025-03-01,elafibranor-psd-march-2025.pdf
elexacaftor-tezacaftor-ivacaftor,2022,11,2022-11-01,elexacaftor-tezacaftor-ivacaftor-psd-11-2022-03-2023.pdf
elexacaftor-tezacaftor-ivacaftor,2021,12,2021-12-01,elexacaftor-tezacaftor-ivacaftor-psd-december-2021.pdf
elexacaftor-tezacaftor-ivacaftor,2021,7,2021-07-01,elexacaftor-tezacaftor-ivacaftor-psd-july-2021.pdf
elexacaftor-tezacaftor-ivacaftor,2021,3,2021-03-01,elexacaftor-tezacaftor-ivacaftor-psd-mar-2021.pdf
elexacaftor-tezacaftor-ivacaftor,2024,3,2024-03-01,elexacaftor-tezacaftor-ivacaftor-psd-march-2024.pdf
elexacaftor-tezacaftor-ivacaftor,2025,3,2025-03-01,elexacaftor-tezacaftor-ivacaftor-psd-march-2025.pdf
elexacaftor-tezacaftor-ivacaftor,2021,5,2021-05-01,elexacaftor-tezacaftor-ivacaftor-psd-may-2021.pdf
eliglustat,2015,7,2015-07-01,eliglustat-psd-july-2015.pdf
elosulfase-alfa,2014,11,2014-11-01,elosulfase-alfa-psd-11-2014.pdf
elosulfase-alfa,2016,3,2016-03-01,elosulfase-alfa-psd-march-2016.pdf
elranatamab,2024,7,2024-07-01,elranatamab-psd-july-2024.pdf
elranatamab,2025,3,2025-03-01,elranatamab-psd-march-2025-with-addendum-december-2025.pdf
elvitegravir,2013,3,2013-03-01,elvitegravir-psd-03-2013.pdf
emtricitabine-tenofovir-rilpivirine,2016,7,2016-07-01,emtricitabine-tenofovir-rilpivirine-psd-july-2016.pdf
encorafenib-and-binimetinib,2025,11,2025-11-01,encorafenib-and-binimetinib-psd-november-2025.pdf
encorafenib-binimetinib,2018,11,2018-11-01,encorafenib-binimetinib-psd-november-2018.pdf
enoxaparin,2014,11,2014-11-01,enoxaparin-psd-11-2014.pdf
enoxaparin,2019,7,2019-07-01,enoxaparin-psd-july-2019.pdf
enoxaparin,2020,7,2020-07-01,enoxaparin-psd-july-2020.pdf
enoxaparin,2023,7,2023-07-01,enoxaparin-psd-july-2023.pdf
enoxaparin,2025,7,2025-07-01,enoxaparin-psd-july-2025.pdf
enoxaparin,2019,3,2019-03-01,enoxaparin-psd-march-2019.pdf
