drug_name,atc_code,brand_name,pbs_code
insulin degludec + insulin aspart,A10AD06,Ryzodeg Penfill,11426J
insulin detemir,A10AE05,Levemir FlexPen,12236B
insulin glargine,A10AE04,Toujeo Solostar,11302W
insulin glulisine,A10AB06,Apidra SoloStar,12268Q
insulin isophane human,A10AC01,Humulin NPH,1533Q
insulin lispro,A10AB04,Humalog U200 Kwikpen,11645X
insulin lispro + insulin lispro protamine,A10AD04,Humalog Mix25 KwikPen,12234X
insulin neutral human,A10AB01,Actrapid,1531N
insulin neutral human + insulin isophane human,A10AD01,Humulin 30/70,1426C
interferon beta-1b,L03AB08,Betaferon,8101J
interferon gamma-1b,L03AB03,Imukin,5769P
ipilimumab,L01FX04,Yervoy,15230N
ipratropium,R03BB01,Atrovent,1542E
iptacopan,L04AJ08,Fabhalta,15064W
irbesartan,C09CA04,Avapro,13380F
irbesartan + hydrochlorothiazide,C09DA04,Avapro HCT 300/25,13446Q
irinotecan,L01CE02,Irinotecan Accord,4451G
iron polymaltose,B03AC,Ferrosig,2593L
iron sucrose,B03AC,Venofer,10229J
isoleucine with carbohydrate,V06DX,Isoleucine 50,9134R
isoniazid,J04AC01,Arrow Pharma Pty Ltd,1554T
isosorbide dinitrate,C01DA08,Isordil Sublingual,13491C
isosorbide mononitrate,C01DA14,Imdur Durule,13461L
isotretinoin,D10BA01,Roaccutane,11621P
itraconazole,J02AC02,Lozanoc,10732W
ivabradine,C01EB17,Coralan,10012Y
ivacaftor,R07AX02,Kalydeco,10170G
ivermectin,P02CF01,Stromectol,2868Y
ivosidenib,L01XM02,Tibsovo,14868M
ixekizumab,L04AC13,Taltz,11032P
labetalol,C07AG01,Presolol 100,13887X
lacosamide,N03AX18,Lacosamide ARX,10293R
lamivudine,J05AF05,3TC,10311Q
lamivudine + zidovudine,J05AR01,Combivir,10284G
lamotrigine,N03AX09,Lamictal,13842M
lanadelumab,B06AC05,Takhzyro,12790E
lanreotide,H01CB03,Mytolac,11289E
lansoprazole,A02BC03,Zopral,11669E
lanthanum,V03AE03,Fosrenol,13874F
lapatinib,L01EH01,Tykerb,11251E
larotrectinib,L01EX12,Vitrakvi,13027P
latanoprost,S01EE01,Xalatan,14453Q
latanoprost + timolol,S01EE,APO-Latanoprost/Timolol 0.05/5,14350G
leflunomide,L04AK01,Arava,13940Q
lenalidomide,L04AX04,Lenalidomide Dr.Reddy''s,11029L
lenvatinib,L01EX08,Lenvima,10952K
lercanidipine,C08CA13,Zircol 10,13411W
lercanidipine + enalapril,C09BB02,Zan-Extra 10/20,13477H
letrozole,L02BG04,Femara 2.5 mg,13939P
leuprorelin,L02AE02,Lucrin Depot 6-Month,11943N
leuprorelin (&) bicalutamide,L02AE51,Bi ELIGARD CP,10962Y
levetiracetam,N03AX14,Levactam,13937M
levodopa + benserazide,N04BA02,Madopar Rapid 62.5,14356N
levodopa + carbidopa,N04BA02,Duodopa,11910W
levodopa + carbidopa + entacapone,N04BA03,Lecteva,14357P
levonorgestrel,G02BA03,Kyleena,11909T
levonorgestrel + ethinylestradiol,G03AB03,Trifeme 28,1392G
levothyroxine,H03AA01,Eltroxin,12830G
lidocaine,N01BB02,LIGNOCAINE INJECTION (BRIDGEWEST),10209H
light liquid paraffin + cocoamphodiacetate disodium,D11AX,Hamilton Skin Therapy Wash,4549K
linagliptin,A10BH05,Trajenta,13954K
linagliptin + metformin,A10BD11,Trajentamet,10038H
lincomycin,J01FF02,LINCOMYCIN SXP,11366F
liothyronine,H03AA02,Tertroxin,13966C
lipegfilgrastim,L03AA14,Lonquex,10931H
liquid paraffin + glycerol + tyloxapol + poloxamer-188 + trometamol hydrochloride + trometamol + cetalkonium chloride,S01XA20,Cationorm,12612T
lisdexamfetamine,N06BA12,Vyvanse,10474G
lisinopril,C09AA03,Zestril,13402J
lithium carbonate,N06AX,Lithicarb,3059B
loperamide,A07DA03,Gastrex,10592L
lopinavir + ritonavir,J05AR10,Kaletra,10272P
loratadine,R06AX13,Claratyne,4313B
lorlatinib,L01ED05,Lorviqua,12091J
lubricating agent,V07A,Lubri-Gel,4306P
lumacaftor + ivacaftor,R07AX30,Orkambi,11463H
lumasiran,A16AX18,Oxlumo,15052F
lurasidone,N05AE05,Lurasidone Lupin,10526B
lutropin alfa,G03GA07,Luveris,10465T
lysine + thiamine + pyridoxine + cyanocobalamin + ferric pyrophosphate,A11EA,Accomin Adult Tonic,4493L
macitentan,C02KX04,Opsumit,10134J
macitentan + tadalafil,C02KX54,Opsynvi,14785E
macrogol-3350,A06AD15,OsmoLax,11025G
macrogol-3350 + sodium chloride + bicarbonate + potassium chloride,A06AD15,APO-MACROGOL plus ELECTROLYTES,14408H
magnesium,A12CC05,Magmin,4321K
mannitol,R05CB16,Bronchitol,2008Q
maraviroc,J05AX09,Maraviroc Waymade,10318C
maribavir,J05AX10,Livtencity,14856X
mavacamten,C01EB24,Camzyos,14113T
mebendazole,P02CA01,Trust Deworm,12194T
mebeverine,A03AA04,Colofac,4328T
mecasermin,H01AC03,Increlex,13116H
medium chain triglycerides,V06D,MCT Oil,3128P
medroxyprogesterone,G03DA02,Ralovera,13849X
mefenamic acid,M01AG01,FEMIN,1824B
melatonin,N05CH01,Slenyto,14188R
meloxicam,M01AC06,CIPLA MELOXICAM 7.5,8561N
melphalan,L01AA03,Alkeran,2547C
memantine,N06DX01,Memantine generichealth,1956Y
mepolizumab,R03DX09,Nucala,12007Y
mercaptopurine,L01BB02,Allmercap,10214N
mesalazine,A07EC02,Pentasa,10254Q
mesna,V03AF01,Uromitexan,5960Q
metformin,A10BA02,Diaformin XR 1000,13847T
methadone,N02AC,METHADONE-AFT,12520Y
methenamine hippurate,J01XX05,Uramet,14005D
methotrexate,L04AX03,Trexject,11268C
methoxsalen,D05BA02,Uvadex,12154Q
methoxy polyethylene glycol-epoetin beta,B03XA03,Mircera,5794Y
methoxyflurane,N02BG09,Penthrox (Combination Pack),3489P
methyl salicylate + menthol + camphor + eucalyptus oil + pine oil pumilio + turpentine oil + peppermint oil + cajuput oil + capsicum extract,M02AC,Goanna Heat Cream,11707E
methyldopa,C02AB01,Hydopa,1629R
methylnaltrexone,A06AH01,Relistor,5423K
methylphenidate,N06BA04,Ritalin LA,12116Q
methylprednisolone,D07AC14,Advantan,10830B
metoclopramide,A03FA01,METOCLOPRAMIDE INJECTION BP,10762K
metoprolol succinate,C07AB02,Metrol-XL 190,13420H
metoprolol tartrate,C07AB02,Metoprolol Sandoz,1324Q
metronidazole,J01XD01,METRONIDAMED,1621H
mianserin,N06AX03,Lumin 10,14366D
miconazole,D01AC02,Daktarin,9027D
midazolam,N05CD08,Pfizer Australia Pty Ltd,10178Q
midostaurin,L01EX10,Rydapt,11505M
mifepristone (&) misoprostol,G03XB51,MS-2 Step,10211K
migalastat,A16AX14,Galafold,14573B
milk powder synthetic low calcium,V06DF,Locasol,3092R
milk protein and fat formula with vitamins and minerals carbohydrate free,V06DX,Carbohydrate Free Mixture,8630F
minocycline,J01AA08,Akamin 50,14483G
minoxidil,C02DC01,Loniten,14041B
mirtazapine,N06AX11,MIRTANZA ODT,14369G
mitozantrone,L01DB07,Mitozantrone Ebewe,4514N
moclobemide,N06AG02,Aurorix 300 mg,14442D
modafinil,N06BA07,Modafin,8816B
modified long chain amylopectin,V06DC,Glycosade,9386B
mogamulizumab,L01FX09,POTELIGEO,15271R
molnupiravir,J05AB18,Lagevrio,12910L
momelotinib,L01EJ04,Omjjara,14743Y
mometasone,D07AC13,Elocon,10791Y
montelukast,R03DC03,Montelukast Sandoz 4,14526M
morphine,N02AA01,Morphine Juno,10858L
