drug_name,atc_code,brand_name,pbs_code
secukinumab,L04AC10,Cosentyx,10425Q
selegiline,N04BD01,Eldepryl,14430L
selenium sulfide,D11AC03,Selsun,4452H
selexipag,C02KX,Uptravi,12235Y
selinexor,L01XX66,Xpovio,13085Q
selpercatinib,L01EX22,Retevmo,14693H
selumetinib,L01EE04,Koselugo,14236G
semaglutide,A10BJ06,Ozempic,12075M
sennoside b,A06AB06,Senokot,4455L
sertraline,N06AB06,Zoloft,14400X
sevelamer,V03AE02,Sevelamer Lupin,11838C
sildenafil,C02KX,Sildenafil Sandoz PHT 20,12138W
silodosin,G04CA04,Urorec,12077P
siltuximab,L04AC11,Sylvant,12916T
simvastatin,C10AA01,Simvar 20,13373W
siponimod,L04AE03,Mayzent,12158X
sirolimus,L04AH01,Rapamune,13860L
sitagliptin,A10BH01,Sitagliptin Sandoz Pharma,13871C
sitagliptin + metformin,A10BD07,Janumet XR,10089B
skin emollient,D02AX,Alpha Keri Lotion,4107E
sodium chloride,B05CB01,Baxter Healthcare Pty Ltd,4460R
sodium chloride + hypochlorous acid + sodium hypochlorite,V07AY,Microdacyn,11134B
sodium chloride + potassium chloride + glucose + citric acid,A07CA,O.R.S.,11049M
sodium phenylbutyrate,A16AX03,Pheburane,11865L
sodium polystyrene sulfonate,V03AE01,Resonium-A,4470G
sofosbuvir + velpatasvir,J05AP55,Epclusa,11144M
sofosbuvir + velpatasvir + voxilaprevir,J05AP56,Vosevi,11658N
somatrogon,H01AC08,Ngenla,13119L
somatropin,H01AC01,Genotropin GoQuick,10426R
sonidegib,L01XJ02,Odomzo,11304Y
sorafenib,L01EX02,Nexavar,10226F
sotalol,C01BD,Cardol,2043M
soy lecithin + tocopherol + vitamin a,S01XA20,tearsagain,14426G
soy protein and fat formula with vitamins and minerals carbohydrate free,V06DX,RCF,8577K
spironolactone,C03DA01,Spiractin 25,13503Q
stiripentol,N03AX17,Diacomit,12088F
sucroferric oxyhydroxide,V03AE05,Velphoro,10230K
sulfasalazine,A07EC01,Pyralin EN,13433B
sulthiame,N03AX03,Ospolot,13916K
sumatriptan,N02CC01,Imigran FDT,10694W
sunitinib,L01EX01,Sunitinib Sandoz,10004M
sunscreens,D02BA,Sunsense Sensitive SPF 50+,4307Q
tacrolimus,L04AD02,Tacrolimus Sandoz,10859M
tadalafil,C02KX,Tadalca,12150L
tafamidis,N07XX08,Vyndamax,14100D
talazoparib,L01XK04,Talzenna,14683T
tamoxifen,L02BA01,Nolvadex-D,10911G
tamsulosin,G04CA02,Flomaxtra,14200J
tape non woven retention polyacrylate,V07AY,Medipore 2961,4915Q
tape plaster adhesive elastic,V07AY,Leukoplast 01071-00,4780N
tape plaster adhesive hypoallergenic,V07AY,Leukopor 2471,4783R
tape plaster adhesive with silicone,V07AY,Mepitac 298300,4239D
tapentadol,N02AX06,Palexia SR,10091D
tar + coal tar solution + salicylic acid,D11AC30,Sebitar,4447C
tar + trolamine lauril sulfate,D04AX,Pinetarsol,4408B
tebentafusp,L01XX75,Kimmtrak,13818G
teduglutide,A16AX08,Revestive,11793Q
telmisartan,C09CA07,Micardis,13437F
telmisartan + amlodipine,C09DB04,ARX-Telmisartan/Amlodipine,13450X
telmisartan + hydrochlorothiazide,C09DA07,Teltartan HCT 40/12.5,13546Y
temazepam,N05CD07,Temtabs,2088X
temozolomide,L01AX03,APO-Temozolomide,10062N
tenofovir alafenamide + emtricitabine + elvitegravir + cobicistat,J05AR18,Genvoya,11114Y
tenofovir disoproxil,J05AF07,Tenofovir Sandoz,10310P
tenofovir disoproxil + emtricitabine,J05AR03,CIPLA TENOFOVIR + EMTRICITABINE 300/200,10347N
tenofovir disoproxil + emtricitabine + efavirenz,J05AR06,Tenofovir Disoproxil Emtricitabine Efavirenz Viatris 300/200/600,11732L
tepotinib,L01EP02,Tepmetko,13171F
terbinafine,D01BA02,Terbinafine-DRLA,2285G
terbutaline,R03CC03,Bricanyl,1034K
teriflunomide,L04AK02,Teriflunomide Sandoz,2898M
teriparatide,H05AA02,Terrosa,14093R
testosterone,G03BA03,AndroForte 5,10378F
testosterone undecanoate,G03BA03,Reandron 1000,10205D
tetrabenazine,N07XX06,iNova Pharmaceuticals (Australia) Pty Ltd,1330B
tetracosactide,H01AA02,Synacthen Depot 1 mg/1 mL,2832C
tezacaftor + ivacaftor (&) ivacaftor,R07AX31,Symdeko,11833T
thalidomide,L04AX02,Thalomid,6469L
theophylline,R03DA04,Nuelin,2614N
thiamine,A11DA01,Betavit,1070H
thyrotropin alfa,H01AB01,Thyrogen,2700D
tiagabine,N03AG06,Gabitril,13892E
ticagrelor,B01AC24,ARX-TICAGRELOR,13524T
tildrakizumab,L04AC17,Ilumya,11613F
timolol,S01ED01,Timoptol,1279H
tioguanine,L01BB03,Lanvis,1233X
tiotropium,R03BB04,Spiriva Respimat,10509D
tiotropium + olodaterol,R03AL06,Spiolto Respimat,10557P
tirofiban,B01AC17,Aggrastat,8350L
tislelizumab,L01FF09,Tevimbra,14756P
tobramycin,J01GB01,TOBI podhaler,10066T
tocilizumab,L04AC07,Actemra,10056G
tofacitinib,L04AF01,Xeljanz,10511F
tolnaftate,D01AE18,Tinaderm,4481W
tolvaptan,C03XA01,Jinarc,11588X
topiramate,N03AX11,Topamax Sprinkle,13878K
topotecan,L01CE01,Hycamtin,4617B
toremifene,L02BA02,Fareston,13859K
toripalimab,L01FF13,Zytorvi,15125C
trabectedin,L01CX01,Yondelis,13340D
tramadol,N02AX02,Tramal,12008B
trametinib,L01EE01,Mekinist,10382K
trandolapril,C09AA10,Gopten,13403K
trandolapril + verapamil,C09BB10,Tarka 4/240,13591H
tranexamic acid,B02AA02,Cyklokapron,2180R
tranylcypromine,N06AF04,Parnate,14401Y
trastuzumab,L01FD01,Ogivri,10383L
trastuzumab deruxtecan,L01FD04,Enhertu,13713R
trastuzumab emtansine,L01FD03,Kadcyla,10281D
travoprost,S01EE04,Travatan,14549R
travoprost + timolol,S01EE,Duotrav,14316L
tremelimumab,L01FX20,Imjudo,15090F
triamcinolone,D07AB09,Tricortone,2117K
triamcinolone + neomycin + gramicidin + nystatin,S02CA04,Otocomb Otic,2971J
trientine,A16AX12,Trientine Waymade,13124R
trifluridine + tipiracil,L01BC59,Lonsurf 15/6.14,11507P
triglycerides long chain with glucose polymer,V06DX,ProZero,9309Y
triglycerides medium chain and long chain with glucose polymer,V06DX,Duocal,3136C
triglycerides medium chain formula,V06DB,Monogen,10152H
trihexyphenidyl,N04AA01,Artane,1109J
trimethoprim,J01EA01,Alprim,10785P
trimethoprim + sulfamethoxazole,J01EE01,Bactrim DS,10784N
triptorelin,L02AE04,Decapeptyl,10907C
tyrosine with carbohydrate,V06DX,Tyrosine 1000,9165J
ublituximab,L04AG14,Briumvi,15175Q
umeclidinium,R03BB07,Incruse Ellipta,10187E
umeclidinium + vilanterol,R03AL03,Anoro Ellipta 62.5/25,10188F
upadacitinib,L04AF03,Rinvoq,11979L
urea,D02AE01,Urederm,4042R
ursodeoxycholic acid,A05AA02,Ursofalk,11180K
ustekinumab,L04AC05,Stelara,10767Q
valaciclovir,J05AB11,Valtrex,5480K
valganciclovir,J05AB14,Valcyte,10277X
valine with carbohydrate,V06DX,Valine 50,9135T
valproate,N03AG01,Epilim,13840K
valsartan,C09CA03,Dilart,13383J
valsartan + hydrochlorothiazide,C09DA03,Dilart HCT 80/12.5,13393X
vancomycin,J01XA01,Vancomycin Viatris,14696L
vanzacaftor + tezacaftor + deutivacaftor,R07AX33,Alyftrek,15204F
varenicline,N07BA03,VARENAPIX,5469W
vedolizumab,L04AG05,Entyvio,10384M
vemurafenib,L01EC01,Zelboraf,11076Y
venetoclax,L01XX52,Venclexta,11630D
venlafaxine,N06AX16,Efexor-XR,14402B
verapamil,C08DA01,Cordilox SR,1241H
vericiguat,C01DX22,Verquvo,13178N
vigabatrin,N03AG04,Sabril,13919N
vildagliptin,A10BH02,Galvus,13846R
vildagliptin + metformin,A10BD08,ARX-Vildagliptin/Metformin 50/500,13877J
vinblastine,L01CA01,DBL Vinblastine,4618C
vincristine,L01CA02,DBL Vincristine Sulfate,4619D
vinorelbine,L01CA04,Vinorelbine Ebewe,4620E
vismodegib,L01XJ01,Erivedge,11070P
"vitamins, minerals and trace elements",V06DX,Phlexy-Vits,11200L
"vitamins, minerals and trace elements with carbohydrate",V06DX,FruitiVits,10149E
voriconazole,J02AC03,Vfend,10168E
vorinostat,L01XH01,Zolinza,11138F
vosoritide,M05BX07,Voxzogo,13270K
vutrisiran,N07XX18,Amvuttra,14810L
warfarin,B01AA03,Coumadin,2209G
"whey protein formula supplemented with amino acids, long chain polyunsaturated fatty acids, vitamins and minerals, low in protein, phosphate, potassium and lactose",V06DX,Renastart,2870C
"whey protein formula supplemented with amino acids, vitamins and minerals, and low in protein, phosphate, potassium and lactose",V06DX,Kindergen,8587Y
wool alcohols,D02AC,Eucerin,4041Q
yellow jacket venom,V01AA07,Albey Yellow Jacket Venom,2883R
zanubrutinib,L01EL03,Brukinsa,12891L
zidovudine,J05AF01,Retrovir,10266H
zilucoplan,L04AJ06,Zilbrysq,15276B
zinc oxide + maize starch + purified talc + chlorphenesin,D11AX,Z.S.C.,4497Q
zinc oxide + peru balsam + benzyl benzoate,C05AX04,Anusol,4039N
ziprasidone,N05AE04,ZIPROX,9070J
zoledronic acid,M05BA08,DEZTRON,13772W
zolmitriptan,N02CC03,Zomig,8266C
zonisamide,N03AX15,Zonegran,13853D
zopiclone,N05CF01,Imovane,13307J
zuclopenthixol decanoate,N05AF05,Clopixol Depot,8097E
